6FDA-AP6F,,,,6FDA-PDODA,,,,ODPA-AP6F,,,,ODPA-PDODA,,
0.586755,1401.944815,1822.52826,,0.586755,1834.303523,3485.176694,,0.566244,1848.65647,1848.65647,,0.50728,116430.4176,58215.20879
0.589764,1435.906345,1866.678248,,0.589764,1844.028307,3503.653783,,0.569133,1866.27923,1866.27923,,0.510264,116893.8113,58446.90564
0.592773,1403.512553,1824.566319,,0.592773,1879.822114,3571.662016,,0.572022,1872.562936,1872.562936,,0.513248,117187.2907,58593.64536
0.595782,1389.748377,1806.672891,,0.595782,1895.791989,3602.00478,,0.574911,1811.020802,1811.020802,,0.516232,117284.9707,58642.48533
0.598791,1393.437504,1811.468756,,0.598791,1917.885568,3643.982579,,0.5778,1806.013709,1806.013709,,0.519216,117946.1859,58973.09297
0.6018,1332.03997,1731.651961,,0.6018,1860.91252,3535.733787,,0.580689,1793.387098,1793.387098,,0.5222,118432.2344,59216.11719
0.604809,1516.797796,1971.837135,,0.604809,1853.352133,3521.369053,,0.5835781,1803.467332,1803.467332,,0.525184,118738.5037,59369.25183
0.607818,1353.320674,1759.316876,,0.607818,1854.159035,3522.902167,,0.586467,1758.066221,1758.066221,,0.528168,119032.6253,59516.31266
0.610827,1329.239859,1728.011817,,0.610827,1855.203679,3524.88699,,0.589356,1810.831955,1810.831955,,0.531152,119201.2989,59600.64943
0.613836,1278.925806,1662.603548,,0.613836,1851.133087,3517.152866,,0.592245,1823.273609,1823.273609,,0.534136,119573.6939,59786.84695
0.616845,1386.780881,1802.815145,,0.616845,1874.950293,3562.405556,,0.595134,1816.311125,1816.311125,,0.53712,120040.6515,60020.32574
0.619854,1323.85119,1721.006547,,0.619854,1868.744566,3550.614676,,0.598023,1763.636741,1763.636741,,0.540104,120120.3894,60060.19472
0.622863,1320.597545,1716.776808,,0.622863,1868.039056,3549.274207,,0.600912,1737.792063,1737.792063,,0.543088,120413.1964,60206.59821
0.625872,1343.985338,1747.18094,,0.625872,1869.106038,3551.301472,,0.603801,1731.47343,1731.47343,,0.546072,120545.6097,60272.80487
0.628881,1361.859733,1770.417653,,0.628881,1879.761046,3571.545987,,0.60669,1636.479143,1636.479143,,0.549056,120916.2972,60458.14859
0.63189,1355.836679,1762.587683,,0.63189,1876.691521,3565.713889,,0.609579,1694.299912,1694.299912,,0.55204,120825.6937,60412.84685
0.634899,1301.939462,1692.5213,,0.634899,1850.794087,3516.508765,,0.612468,1748.254094,1748.254094,,0.555024,121078.6642,60539.33211
0.637908,1290.37439,1677.486707,,0.637908,1840.22734,3496.431946,,0.615357,1743.969268,1743.969268,,0.558008,120967.1131,60483.55655
0.640917,1346.901102,1750.971432,,0.640917,1848.956352,3513.017068,,0.618246,1721.565125,1721.565125,,0.560992,120979.9829,60489.99145
0.643926,1326.362184,1724.270839,,0.643926,1810.249042,3439.47318,,0.621135,1736.803608,1736.803608,,0.563976,120933.6093,60466.80465
0.646935,1292.629052,1680.417767,,0.646935,1788.59668,3398.333692,,0.624024,1772.216372,1772.216372,,0.56696,120670.8788,60335.43942
0.649944,1306.910652,1698.983847,,0.649944,1805.163685,3429.811001,,0.626913,1734.08081,1734.08081,,0.569944,120529.2561,60264.62805
0.652953,1333.818747,1733.964371,,0.652953,1827.068046,3471.429287,,0.629802,1726.588496,1726.588496,,0.572928,120276.9353,60138.46767
0.655962,1320.900901,1717.171171,,0.655962,1837.732587,3491.691915,,0.632691,1747.327788,1747.327788,,0.575912,119966.3523,59983.17614
0.658971,1325.826184,1723.574039,,0.658971,1853.829586,3522.276213,,0.63558,1716.863521,1716.863521,,0.578896,120034.3686,60017.18431
0.66198,1286.301796,1672.192335,,0.66198,1854.476878,3523.506069,,0.638469,1680.318287,1680.318287,,0.58188,119778.3979,59889.19893
0.664989,1229.671426,1598.572854,,0.664989,1836.53367,3489.413972,,0.641358,1750.21529,1750.21529,,0.584864,119323.9444,59661.97221
0.667998,1196.674214,1555.676478,,0.667998,1807.562295,3434.36836,,0.644247,1712.126534,1712.126534,,0.587848,119148.5876,59574.29378
0.671007,1162.674556,1511.476923,,0.671007,1778.994316,3380.0892,,0.647136,1717.664377,1717.664377,,0.590832,118982.111,59491.0555
0.674016,1148.647074,1493.241196,,0.674016,1800.341986,3420.649774,,0.650025,1754.970074,1754.970074,,0.593816,118545.1468,59272.57338
0.677025,1286.048926,1671.863604,,0.677025,1840.34855,3496.662245,,0.652914,1710.580394,1710.580394,,0.5968,117944.507,58972.25351
0.680034,1210.467361,1573.607569,,0.680034,1819.327095,3456.72148,,0.655803,1694.387959,1694.387959,,0.599784,117627.3335,58813.66676
0.683043,1282.46713,1667.207268,,0.683043,1805.523819,3430.495256,,0.658692,1704.965207,1704.965207,,0.602768,117078.4168,58539.20839
0.686052,1208.385761,1570.901489,,0.686052,1818.375256,3454.912987,,0.661581,1655.781321,1655.781321,,0.605752,116074.8054,58037.4027
0.689061,1203.568252,1564.638727,,0.689061,1827.942997,3473.091694,,0.66447,1654.144214,1654.144214,,0.608736,115612.3746,57806.1873
0.69207,1138.649087,1480.243813,,0.69207,1819.529091,3457.105274,,0.6673591,1675.937634,1675.937634,,0.61172,114658.5093,57329.25463
0.695079,1184.721379,1540.137792,,0.695079,1862.357061,3538.478417,,0.670248,1680.944661,1680.944661,,0.614704,114245.2818,57122.64092
0.698088,1261.74554,1640.269202,,0.698088,1845.403637,3506.26691,,0.673137,1664.428684,1664.428684,,0.617688,113589.1808,56794.59042
0.701097,1230.324367,1599.421677,,0.701097,1836.435548,3489.227541,,0.676026,1652.998817,1652.998817,,0.620672,112628.8131,56314.40656
0.704106,1246.912614,1620.986398,,0.704106,1836.331903,3489.030616,,0.678915,1630.213952,1630.213952,,0.623656,111984.0082,55992.00412
0.707115,1202.068719,1562.689335,,0.707115,1823.330193,3464.327368,,0.681804,1660.651228,1660.651228,,0.62664,111166.8545,55583.42725
0.710124,1153.061977,1498.980571,,0.710124,1865.084716,3543.66096,,0.684693,1598.129977,1598.129977,,0.629624,110059.9996,55029.99982
