ODPA-AP6F-ODPA-PEG1500 (40%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc 2 step,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc,,,,ODPA-AP6F-ODPA-PEG6000 (50%) DMAc,,
0.2235,43011.97951,12903.59385,25807.18771,0.249815,33618.49151,43704.03896,,0.258632,17652.20638,4942.617787,,0.255693,27138.73635,13569.36817,54277.4727,0.249815,100767.7194,67514.37199,,0.255693,25314.75098,10125.90039,,0.213781,46168.99096,22161.11566,,0.47627777,856.3971197,8563.971197,,0.223364,375572.3714,488244.0828
0.22648,43073.77643,12922.13293,25844.26586,0.252754,34155.56003,44402.22804,,0.261571,17412.28279,4875.439181,,0.258632,26895.42993,13447.71496,53790.85986,0.252754,101012.7751,67678.55931,,0.258632,25511.9603,10204.78412,,0.216792,46338.10433,22242.29008,,0.48518017,852.3653488,8523.653488,,0.226303,370906.9179,482178.9933
0.22946,42901.15664,12870.34699,25740.69399,0.255693,33945.5032,44129.15416,,0.26451,17663.85893,4945.880501,,0.261571,26729.93283,13364.96642,53459.86567,0.255693,101237.2876,67828.98272,,0.261571,25085.18947,10034.07579,,0.219803,45831.13526,21998.94493,,0.49408253,845.6446459,8456.446459,,0.229242,365606.6255,475288.6131
0.23244,42779.57774,12833.87332,25667.74664,0.258632,34079.35255,44303.15831,,0.267449,17845.53184,4996.748916,,0.26451,27185.48073,13592.74037,54370.96146,0.258632,101947.9116,68305.10075,,0.26451,24907.7247,9963.08988,,0.222814,45884.07678,22024.35686,,0.50298493,860.5484192,8605.484192,,0.232181,360122.2915,468158.979
0.23542,42989.99071,12896.99721,25793.99442,0.261571,34135.97555,44376.76821,,0.270388,17668.62084,4947.213835,,0.267449,27619.60702,13809.80351,55239.21405,0.261571,101903.1686,68275.12296,,0.267449,25221.11716,10088.44686,,0.225825,45739.7327,21955.0717,,0.51188733,844.6861268,8446.861268,,0.23512,355434.1857,462064.4414
0.2384,43147.3024,12944.19072,25888.38144,0.26451,34331.84766,44631.40196,,0.273327,17434.47822,4881.653902,,0.270388,27638.3813,13819.19065,55276.76261,0.26451,102637.0022,68766.7915,,0.270388,25215.50202,10086.20081,,0.228836,45664.13056,21918.78267,,0.5207897,900.0680599,9000.680599,,0.238059,350977.0825,456270.2073
0.24138,43000.54305,12900.16291,25800.32583,0.267449,34850.46566,45305.60536,,0.276266,17339.99184,4855.197716,,0.273327,27574.29397,13787.14698,55148.58794,0.267449,103412.5841,69286.43138,,0.273327,25308.7944,10123.51776,,0.231847,45874.11681,22019.57607,,0.5296921,863.1383096,8631.383096,,0.240998,345869.9605,449630.9487
0.24436,42816.07879,12844.82364,25689.64728,0.270388,34980.07397,45474.09616,,0.279205,17552.25577,4914.631615,,0.276266,27635.32684,13817.66342,55270.65367,0.270388,104115.8791,69757.639,,0.276266,25052.86296,10021.14518,,0.234858,46155.92677,22154.84485,,0.5385945,878.9023965,8789.023965,,0.243937,342619.7901,445405.7271
0.24734,42869.17153,12860.75146,25721.50292,0.273327,35217.63636,45782.92727,,0.282144,17328.91805,4852.097055,,0.279205,28218.07882,14109.03941,56436.15764,0.273327,105458.5786,70657.24768,,0.279205,25347.00374,10138.80149,,0.237869,45932.81051,22047.74905,,0.54749686,871.5080889,8715.080889,,0.246876,337895.5746,439264.247
0.25032,42896.77975,12869.03392,25738.06785,0.276266,35397.38527,46016.60085,,0.285083,17506.29918,4901.763771,,0.282144,28473.98531,14236.99265,56947.97061,0.276266,106292.3957,71215.90509,,0.282144,25448.94587,10179.57835,,0.24088,46135.68915,22145.13079,,0.55639926,870.3399237,8703.399237,,0.249815,333067.0467,432987.1606
